noise_sigma,run_iterations,epoch,rmse_km_s,ssim,velocity_objective,waveform_cost,result_dir
0,100,79,0.1827483092603159,0.7271309619583002,0.016698472268752033,4.177522714599036e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,80,0.18248686326565283,0.7279056212730224,0.016650727632268537,2.762039912340697e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,81,0.18203253809149447,0.7287674155178011,0.016567922462015692,4.495889515965246e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,82,0.18130523538630477,0.7297220534218456,0.016435794189241692,2.48817650572164e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,83,0.1808448335771947,0.7305485159469626,0.016352426915781624,6.121389014879242e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,84,0.1807528571622802,0.7315804522991917,0.016335797686163837,4.908393748337403e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,85,0.18052412079779023,0.7321031757557812,0.016294479094907582,4.4607768359128386e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,86,0.17969077767624192,0.733438650238818,0.0161443877909463,5.0316968554398045e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,87,0.17917428544005912,0.7340966890487394,0.01605171228147789,5.281630365061574e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,88,0.17895101198591581,0.7353484506581819,0.01601173234539169,7.052945147734135e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,89,0.17886379585672085,0.7355535896151736,0.015996128734137357,2.968345143017359e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
